guessWord,genreHint,directorsHint,studioHint 
Destroy All Monsters,"Action & Adventure, Anime & Manga, Art House & International, Classics, Horror, Science Fiction & Fantasy",Ishirô Honda,American International Pictures
Destroyer,Mystery & Suspense,Karyn Kusama,Annapurna Pictures
Destry Rides Again,"Classics, Comedy, Western",George Marshall,MCA Universal Home Video
Detachment,Drama,Tony Kaye,Tribeca Films
The Detective,"Classics, Drama, Mystery & Suspense",Gordon Douglas,20th Century Fox Film Corporation
Detective Dee and the Mystery of the Phantom Flame,"Action & Adventure, Art House & International, Mystery & Suspense",Hark Tsui,Indomina Media
Detective Story,"Classics, Drama, Mystery & Suspense",William Wyler,VCI
Detention,"Comedy, Horror",Joseph Kahn,IDP Distribution
Detention Of The Dead,"Comedy, Horror",Alex Craig Mann,Anchor Bay
Deterrence,"Drama, Mystery & Suspense",Rod Lurie,Paramount Home Video
Detour,"Classics, Cult Movies, Drama, Mystery & Suspense",Edgar G. Ulmer,Film Chest
Detour,Drama,Christopher Smith (VIII),Bankside Films
Detroit,"Drama, Mystery & Suspense",Kathryn Bigelow,Annapurna Pictures
Detroit 9000,"Action & Adventure, Cult Movies, Drama, Mystery & Suspense",Arthur Marks,Miramax
Detroit Rock City,Comedy,Adam Rifkin,New Line Cinema
Detropia,Documentary,"Heidi Ewing, Rachel Grady",Loki Films
Deuce Bigalow: Male Gigolo,Comedy,Mike Mitchell,Happy Madison Productions
Deuce Bigalow: European Gigolo,Comedy,"Mike Bigalow, Mike Bigelow",Sony
Deuces Wild,"Action & Adventure, Drama",Scott Kalvert,MGM
Devil,"Horror, Mystery & Suspense",John Erick Dowdle,Universal Pictures
The Devil and Max Devlin,"Comedy, Kids & Family, Science Fiction & Fantasy",Steven Hilliard Stern,Buena Vista
The Devil and Miss Jones,"Classics, Comedy, Drama, Romance",Sam Wood,RKO Pictures
The Devil Came on Horseback,"Documentary, Special Interest","Ricki Stern, Anne Sundberg, Annie Sundberg",Break Thru Films
Devil in a Blue Dress,"Drama, Mystery & Suspense",Carl Franklin,TriStar
The Devil's Advocate,"Action & Adventure, Drama, Horror, Mystery & Suspense",Taylor Hackford,Warner Home Video
The Devil's Backbone (El Espinazo del diablo),"Art House & International, Drama, Mystery & Suspense",Guillermo del Toro,Sony Pictures Classics
The Devil's Brigade,"Action & Adventure, Classics, Drama",Andrew V. McLaglen,MGM
The Devil's Chair ,Horror,Adam Mason,Sony Pictures Home Entertainment
Devil's Due,Horror,"Matt Bettinelli-Olpin, Tyler Gillett",20th Century Fox
Devil's Gate,"Drama, Mystery & Suspense",Clay Staub,IFC Films
Devil's Knot,Drama,Atom Egoyan,RLJ/Image Entertainment
Devils on the Doorstep (Guizi lai le),"Art House & International, Comedy, Drama",Jiang Wen,Cowboy Pictures
The Devil's Own,"Action & Adventure, Drama, Mystery & Suspense",Alan J. Pakula,Sony Pictures Home Entertainment
The Devil's Rejects,Horror,Rob Zombie,Lions Gate Films
The Dhamma Brothers,"Documentary, Special Interest","Andrew Kukura, Jenny Phillips, Anne Marie Stein",Balcony Releasing
Dheepan,Drama,Jacques Audiard,Sundance Selects
Mumbai Diaries,"Art House & International, Drama",Kiran Rao (II),UTV Communications
Dhoom: 2,"Action & Adventure, Art House & International, Mystery & Suspense",Sanjay Gadhvi,Yash Raj Films
Diablo,"Mystery & Suspense, Western",Lawrence Roeck,
Dial A Prayer,"Comedy, Drama",Maggie Kiley,Vertical Entertainment
Dial M for Murder,"Classics, Mystery & Suspense",Alfred Hitchcock,Warner Bros. Pictures
Diamonds Are Forever,"Action & Adventure, Classics, Mystery & Suspense, Science Fiction & Fantasy",Guy Hamilton,Twentieth Century Fox Home Entertainment
Diana,Drama,Oliver Hirschbiegel,Eone Films
Diana Vreeland: The Eye Has To Travel,Documentary,"Lisa Immordino Vreeland, Bent-Jorgen Perlmutt, Frédéric Tcheng",Samuel Goldwyn Films
Diane,Drama,Kent Jones,IFC Films
Diane,Horror,Michael Mongillo,Random Media
Diary of the Dead,"Horror, Mystery & Suspense",George A. Romero,The Weinstein Company
Diary of a Chambermaid (Le journal d'une femme de chambre),"Art House & International, Drama",Luis Buñuel,20th Century-Fox
Diary of a Lost Girl (Tagebuch einer Verlorenen),"Art House & International, Classics, Drama",Georg Wilhelm Pabst,Kino
Diary of a Mad Black Woman,Comedy,Darren Grant,Lions Gate Films
Diary of a Wimpy Kid,"Comedy, Kids & Family",Thor Freudenthal,20th Century Fox
Diary of a Wimpy Kid 2: Rodrick Rules,"Comedy, Drama, Kids & Family",David Bowers,20th Century Fox
Diary of a Wimpy Kid: Dog Days,"Comedy, Kids & Family",David Bowers,20th Century Fox
Diary Of A Wimpy Kid: The Long Haul,"Comedy, Kids & Family",David Bowers,20th Century Fox
The Diary of Anne Frank,"Classics, Drama",George Stevens,Fox
Dickie Roberts: Former Child Star,Comedy,Sam Weisman,Paramount Pictures
Die Another Day,"Action & Adventure, Mystery & Suspense",Lee Tamahori,MGM Pictures
Die! Die! My Darling!,"Art House & International, Classics, Horror, Mystery & Suspense",Silvio Narizzano,Sony Pictures Entertainment
Die Fälschung (Circle of Deceit),"Art House & International, Drama",Volker Schlöndorff,
Die Hard,"Action & Adventure, Mystery & Suspense",John McTiernan,20th Century Fox
Die Hard 2,"Action & Adventure, Mystery & Suspense",Renny Harlin,20th Century Fox
Die Hard: With a Vengeance,"Action & Adventure, Mystery & Suspense",John McTiernan,Twentieth Century Fox Home Entertainment
"Die, Monster, Die!","Classics, Horror, Mystery & Suspense, Science Fiction & Fantasy",Daniel Haller,HBO Video
Die Wand (The Wall),Drama,Pham Minh Hoang,Music Box Films
Dig!,"Documentary, Musical & Performing Arts, Special Interest",Ondi Timoner,Palm Pictures
Dig Two Graves,Horror,Hunter Adams,Area 23a
Diggers,"Comedy, Drama",Katherine Dieckmann,Magnolia Pictures
Digging For Fire,Drama,Joe Swanberg,The Orchard
Digging to China,Drama,Timothy Hutton,Koch Lorber Films
Digging Up the Marrow,"Drama, Science Fiction & Fantasy",,RLJE/Image Entertainment
Diggstown,"Action & Adventure, Comedy, Drama",Michael Ritchie,MGM Home Entertainment
Dil Bole Hadippa! (My Heart Goes Hooray!),"Art House & International, Comedy, Musical & Performing Arts, Sports & Fitness",Anurag Singh,Yash Raj Films
Dilili in Paris (Dilili à Paris),"Animation, Art House & International, Kids & Family, Mystery & Suspense",Michel Ocelot,
Dim Sum: A Little Bit of Heart,"Art House & International, Comedy",Wayne Wang,Orion Classics
Dim Sum Funeral,"Art House & International, Comedy, Drama",Anna Chi,HBO Films
Diminished Capacity,Comedy,Terry Kinney,IFC First Take
Diner,"Comedy, Drama",Barry Levinson,MGM Home Entertainment
Dinner for Schmucks,Comedy,Jay Roach,Paramount Studios
The Dinner Game (Le Dîner de cons),"Art House & International, Comedy, Drama",Francis Veber,Lions Gate Films Inc.
Dinner with Friends,"Comedy, Drama, Television",Norman Jewison,HBO Video
Dinosaur 13,"Action & Adventure, Documentary, Drama, Special Interest",Todd Douglas Miller,Lionsgate Films
Dinosaurs Alive! 3D,"Action & Adventure, Documentary, Kids & Family, Special Interest","Bayley Silleck, David Clark",Giant Screen Films
Dinosaurs: Giants of Patagonia,"Animation, Documentary",Marc Fafard,Sky High Entertainment
Dinotasia,"Documentary, Special Interest","David Krentz, Erik Nelson",Revolver Entertainment
Dior and I,"Documentary, Special Interest",Frédéric Tcheng,The Orchard
Diplomacy,Drama,Volker Schlöndorff,Zeitgeist Films
Dirty Dancing,"Drama, Musical & Performing Arts, Romance",Emile Ardolino,Vestron Pictures
Dirty Dancing,"Drama, Musical & Performing Arts",Wayne Blair,
Dirty Dancing: Havana Nights,"Drama, Romance",Guy Ferland,Artisan Entertainment
The Dirty Dozen,"Classics, Drama",Robert Aldrich,MGM
Dirty Girl,"Comedy, Drama",Abe Sylvia,The Weinstein Company
Dirty Grandpa,Comedy,Dan Mazer,Lionsgate Films
Dirty Harry,"Classics, Drama, Mystery & Suspense",Don Siegel,Warner Home Video
Dirty Love,Comedy,John Asher,First Look
Dirty Mary Crazy Larry,"Action & Adventure, Drama",John Hough,Anchor Bay Entertainment
Dirty Pretty Things,"Art House & International, Drama, Mystery & Suspense",Stephen Frears,Miramax Films
Dirty Rotten Scoundrels,Comedy,Frank Oz,MGM Home Entertainment
A Dirty Shame,Comedy,John Waters,New Line Cinema
Dirty Wars,"Documentary, Special Interest",Richard Rowley,IFC Films
The Disappearance of Alice Creed,Mystery & Suspense,J Blakeson,Anchor Bay Entertainment
The Disappearance of Garcia Lorca,"Drama, Mystery & Suspense",Marcos Zúriñaga,Sony Pictures Entertainment
Disappearances,"Action & Adventure, Drama",Jay Craven,Screen Media Ventures LLC
Disaster Movie,Comedy,"Aaron Seltzer, Jason Friedberg",Lionsgate
Disclosure,"Drama, Mystery & Suspense",Barry Levinson,Warner Home Video
Disco Pigs,"Art House & International, Drama",Kirsten Sheridan,Vanguard
Disco Godfather,"Action & Adventure, Comedy, Cult Movies, Drama, Musical & Performing Arts","J. Robert Wagoner, Rudy Ray Moore",Transvue Pictures Corp.
Disconnect,"Drama, Mystery & Suspense",Henry-Alex Rubin,LD Entertainment
Discreet,"Drama, Mystery & Suspense",Travis Mathews,Uncork'd Entertainment
The Discreet Charm Of The Bourgeoisie (Le Charme Discret de la Bourgeoisie),"Art House & International, Comedy, Drama, Science Fiction & Fantasy, Special Interest",Luis Buñuel,20th Century Fox
The Disenchanted,"Art House & International, Comedy, Drama",Benoît Jacquot,CNC
Disgrace,"Art House & International, Drama",Steve Jacobs,Maximum Film Distribution
The Dish,"Comedy, Drama",Rob Sitch,Warner Bros. Pictures
Disneynature Bears,Kids & Family,"Alastair Fothergill, Keith Scholey, Adam Chapman",Walt Disney Pictures
Disneynature Chimpanzee,Documentary,"Alastair Fothergill, Mark Linfield",Disneynature
Disneynature Crimson Wing,Documentary,"Matthew Aeberhard, Leander Ward",Disneynature
Disneynature Earth,Documentary,"Mark Linfield, Alastair Fothergill",Walt Disney Films
Disneynature Monkey Kingdom,Documentary,"Mark Linfield, Alastair Fothergill",Walt Disney Pictures
Disneynature Oceans,"Documentary, Drama","Jacques Cluzaud, Jacques Perrin",Disneynature
Aladdin,"Action & Adventure, Animation, Comedy, Kids & Family, Musical & Performing Arts","John Musker, Ron Clements",Walt Disney Pictures
Disobedience,"Drama, Romance",Sebastián Lelio,
Disorder (Maryland),"Art House & International, Drama, Mystery & Suspense",Alice Winocour,Scope Pictures
The Disorderly Orderly,"Classics, Comedy, Musical & Performing Arts, Romance",Frank Tashlin,Paramount Pictures
Disorganized Crime,"Comedy, Drama",Jim Kouf,Touchstone Pictures
Distorted,"Action & Adventure, Mystery & Suspense",Rob W. King,Minds Eye International
Banlieue 13 - Ultimatum (District 13: Ultimatum),"Action & Adventure, Art House & International",Patrick Alessandrin,Magnet/Magnolia Pictures
District 9,"Action & Adventure, Drama, Science Fiction & Fantasy",Neill Blomkamp,Sony Pictures/Screen Gems
District B13 (Banlieue 13),"Action & Adventure, Art House & International, Science Fiction & Fantasy",Pierre Morel,Magnolia Pictures
Disturbia,"Drama, Mystery & Suspense",D.J. Caruso,Dreamworks
Disturbing Behavior,"Horror, Mystery & Suspense, Science Fiction & Fantasy",David Nutter,MGM Home Entertainment
Disturbing The Peace,Documentary,"Stephen Apkon, Andrew Young",Reconsider
William Kunstler: Disturbing the Universe,Documentary,"Emily Kunstler, Sarah Kunstler",Arthouse Films
Divergent,"Action & Adventure, Science Fiction & Fantasy",Neil Burger,Lionsgate Films/Summit Entertainment
Divide and Conquer: The Story of Roger Ailes,Documentary,Alexis Bloom,Magnolia Pictures
Divided We Fall,"Art House & International, Comedy, Drama",Jan Hrebejk,Sony Pictures Classics
Divine Secrets of the Ya-Ya Sisterhood,"Comedy, Drama",Callie Khouri,Warner Bros. Pictures
Divines,Drama,,Easy Tiger
Divorce American Style,"Classics, Comedy",Bud Yorkin,Sony Pictures Entertainment
The Divorcée,"Classics, Drama, Romance",Robert Z. Leonard,MGM
Dixie Chicks - Shut Up and Sing,"Documentary, Special Interest",Barbara Kopple,Weinstein Company
Dixieland,Mystery & Suspense,Hank Bedford,DeerJen Films
Django,"Classics, Western",Sergio Corbucci,Rialto Pictures
Django,"Art House & International, Drama",Etienne Comar,Under the Milky Way
Django Unchained,"Drama, Western",Quentin Tarantino,The Weinstein Co.
Do I Sound Gay?,"Documentary, Special Interest",David Thorpe,IFC Films
Do Knot Disturb,"Art House & International, Comedy, Musical & Performing Arts",David Dhawan,Big Pictures
Do Not Resist,Documentary,Craig Atkinson,Vanish Films
Do the Right Thing,"Comedy, Drama",Spike Lee,Universal Pictures
Do You Believe?,Drama,Jonathan M. Gunn,Freestyle Releasing
Do You Trust this Computer?,Documentary,Chris Paine,
DOA: Dead or Alive,"Action & Adventure, Drama",Corey Yuen,The Weinstein Co.
Doc Holliday,"Documentary, Western",Frank Perry,United Artists
Doc Hollywood,"Comedy, Romance",Michael Caton-Jones,Warner Home Video
Doctor Dolittle,"Action & Adventure, Classics, Comedy, Kids & Family, Musical & Performing Arts, Science Fiction & Fantasy",Richard Fleischer,20th Century Fox
Doctor Faustus,"Art House & International, Classics, Drama, Horror","Richard Burton, Nevill Coghill",Sony Pictures Entertainment
Doctor Strange,"Action & Adventure, Science Fiction & Fantasy",Scott Derrickson,Walt Disney Pictures
Dodgeball - A True Underdog Story,Comedy,Rawson Marshall Thurber,20th Century Fox
Dog Day Afternoon,"Classics, Drama",Sidney Lumet,WARNER BROTHERS PICTURES
Dog Days,Comedy,Ken Marino,LD Entertainment
Dog Eat Dog,"Action & Adventure, Mystery & Suspense",Paul Schrader,Ingenious Media
Dog Park,Comedy,Bruce McCulloch,New Line Home Entertainment
Dog Pound,Drama,Kim Chapiron,Partizan Production
Dog Soldiers,Horror,Neil Marshall,Artisan Home Entertainment
Doghouse,"Art House & International, Comedy, Horror",Jake West,Vertigo Films
Dogtooth (Kynodontas),"Art House & International, Drama",Yorgos Lanthimos,Kino International
Dogtown and Z-Boys,"Documentary, Sports & Fitness",Stacy Peralta,Sony Pictures Classics
Dogville,"Art House & International, Drama, Mystery & Suspense, Special Interest",Lars von Trier,Lions Gate Films
"Doin' It in the Park: Pick-Up Basketball, NYC","Documentary, Sports & Fitness","Bobbito Garcia, Kevin Couliau",Doin' It In The Park LLC
La Dolce Vita,"Art House & International, Comedy, Drama",Federico Fellini,American International Picture
Dolemite,Action & Adventure,D'Urville Martin,Xenon
Dolemite Is My Name,Drama,Craig Brewer,Netflix
$ (Dollars) (The Heist),"Classics, Comedy, Drama",Richard Brooks,Sony Pictures Entertainment
Dolly Parton's Coat of Many Colors,Drama,Stephen Herek,Magnolia Hill Entertainment
Dolores Claiborne,"Drama, Mystery & Suspense",Taylor Hackford,Sony Pictures Home Entertainment
Dolphin Tale,"Drama, Kids & Family",Charles Martin Smith,Warner Bros. Pictures
Dolphin Tale 2,"Drama, Kids & Family",Charles Martin Smith,Warner Bros. Pictures
Dolphins,"Documentary, Kids & Family, Special Interest",Greg MacGillivray,MacGillivray Freeman Films
Dom Hemingway,"Comedy, Drama",Richard Shepard,Fox Searchlight
Domestic Disturbance,"Action & Adventure, Drama, Mystery & Suspense",Harold Becker,Paramount Pictures
Dominick Dunne: After the Party,"Documentary, Special Interest","Timothy Jolley, Tim Jolley, Kirsty de Garis",Indiepix
Dominion: Prequel to the Exorcist,Horror,Paul Schrader,Warner Bros.
Domino,"Action & Adventure, Drama, Mystery & Suspense",Tony Scott,New Line Cinema
Domino,"Action & Adventure, Mystery & Suspense",Brian DePalma,Saban Films
Don Juan DeMarco,"Comedy, Drama, Romance",Jeremy Leven,New Line Home Entertainment
Don 2,"Art House & International, Mystery & Suspense",Farhan Akhtar,Reliance Big Pictures
Don Jon,"Comedy, Drama",Joseph Gordon-Levitt,Relativity Media
Don McKay,"Comedy, Drama, Mystery & Suspense",Jake Goldberger,Image Entertainment
Don Peyote,"Comedy, Drama","Dan Fogler, Michael Canzoniero",Xlrator Media
Don Quixote,"Comedy, Drama, Musical & Performing Arts","Orson Welles, Jesús Franco",El Silencio Producciones
Don Verdean,Comedy,Jared Hess,Lionsgate Films
Donkey Punch,Mystery & Suspense,Olly Blackburn,Magnolia Pictures
Donnie Brasco,"Drama, Mystery & Suspense",Mike Newell,TriStar
Donnie Darko,"Comedy, Mystery & Suspense, Science Fiction & Fantasy, Romance",Richard Kelly,Newmarket Film Group
Donnybrook,Drama,Tim Sutton,IFC Films
Donovan's Echo,"Drama, Mystery & Suspense, Science Fiction & Fantasy",Jim Cliffe,Carlson/Spring
Donovan's Reef,"Action & Adventure, Classics, Comedy, Drama, Romance",John Ford,Paramount Pictures
Don't Ask Don't Tell,"Comedy, Drama, Science Fiction & Fantasy",Doug Miles,
Don't Be a Menace to South Central While Drinking Your Juice in The Hood,Comedy,Paris Barclay,Miramax
Don't Be Afraid of the Dark,"Horror, Television",John Newland,Lorimar Productions
Don't Be Afraid Of The Dark,"Horror, Mystery & Suspense",Troy Nixey,Miramax Films
Don't Bother to Knock,"Classics, Drama, Mystery & Suspense",Roy Ward Baker,Twentieth Century Fox Home Entertainment
Don't Breathe,"Horror, Mystery & Suspense",Fede Alvarez,Ghost House Pictures
Don't Call Me Son (Mãe Só Há Uma),Drama,Anna Muylaert,Dezenove Som e Imagem
Don't Come Back from the Moon,Drama,Bruce Thierry Cheung,Brainstorm Media
Don't Come Knocking,"Art House & International, Comedy, Drama",Wim Wenders,Sony Pictures Classics
Don't Go,Mystery & Suspense,David Gleeson,IFC Films
Don't Go in the House,Horror,Joseph Ellison,Film Ventures International
Don't Hang Up,Horror,"Alexis Wajsbrot, Damien Macé",Vertical Entertainment
Don't Kill It,"Action & Adventure, Horror",Mike Mendez,Archstone Distribution
Don't Knock Twice,"Horror, Mystery & Suspense",Caradog W. James,Red & Black Films
Don't Leave Home,Mystery & Suspense,Michael Tully,Cranked Up Films
Dont Look Back,"Documentary, Musical & Performing Arts, Special Interest",D.A. Pennebaker,Docurama
Don't Look Now,"Classics, Horror, Mystery & Suspense",Nicolas Roeg,Paramount Pictures
Hot Pursuit,"Action & Adventure, Comedy",Anne Fletcher,Warner Bros. Pictures
Don't Say a Word,"Drama, Mystery & Suspense",Gary Fleder,20th Century Fox
Don't Sleep,"Horror, Mystery & Suspense",Rick Bieber,MiNDS i CiNEMA
Don't Stop Believin': Everyman's Journey,"Documentary, Musical & Performing Arts",Ramona S. Diaz,Cinedigm Entertainment/Docurama
Don't Tell Mom the Babysitter's Dead,Comedy,Stephen Herek,Warner Brothers
Don't Think Twice,Comedy,Mike Birbiglia,The Film Arcade
Don't Torture a Duckling,"Art House & International, Classics, Drama, Horror, Mystery & Suspense",Lucio Fulci,
Don't Trip...He Ain't Through with Me Yet,"Comedy, Musical & Performing Arts",Leslie Small,Code Black Entertainment
"Don't Worry, He Won't Get Far on Foot",Drama,Gus Van Sant,Amazon Studios
Doom,"Action & Adventure, Horror, Science Fiction & Fantasy",Andrzej Bartkowiak,Universal Pictures
The Doom Generation,"Action & Adventure, Art House & International, Comedy, Drama, Mystery & Suspense",Gregg Araki,Trimark
Doomsday,"Action & Adventure, Drama, Horror, Mystery & Suspense, Science Fiction & Fantasy",Neil Marshall,Universal Pictures
Doomsday Book,Science Fiction & Fantasy,"Kim Jee-woon, Yim Pil-sung",Tiglon
The Doors,Drama,Oliver Stone,Sony Pictures Home Entertainment
Dopamine,"Comedy, Documentary, Drama, Romance",Mark Decena,The Sundance Channel
Dope,"Comedy, Drama",Rick Famuyiwa,Open Road Films
Dorfman in Love,"Comedy, Romance",Brad Leong,Brainstorm Media
National Lampoon Presents Dorm Daze,Comedy,"David Hillenbrand, Scott Hillenbrand",120 Degree Films
Dormant Beauty,"Art House & International, Drama",Marco Bellocchio,Emerging Picutres
Dot the I,"Art House & International, Drama, Mystery & Suspense",Matthew Parkhill,Summit Entertainment
Double Dare,"Documentary, Musical & Performing Arts, Television",Amanda Micheli,Balcony Releasing
Double Dragon,"Action & Adventure, Science Fiction & Fantasy",James Yukich,MCA Universal Home Video
Double Impact,Action & Adventure,Sheldon Lettich,Sony Pictures Home Entertainment
Double Indemnity,Drama,Billy Wilder,Paramount Pictures
La Double Vie de Véronique (The Double Life of Veronique),"Art House & International, Drama, Musical & Performing Arts, Science Fiction & Fantasy, Romance",Krzysztof Kieslowski,Criterion Collection
Double Lover (L'amant double),"Drama, Mystery & Suspense, Romance",François Ozon,Cohen Media Group
Double Team,Action & Adventure,Hark Tsui,Sony Pictures Home Entertainment
Double Whammy,"Comedy, Drama",Tom DiCillo,Lions Gate Film
Doubt,Drama,John Patrick Shanley,Miramax
Doug's 1st Movie,"Action & Adventure, Animation, Kids & Family, Special Interest",Maurice Joyce,Walt Disney Productions
Dovlatov,"Art House & International, Drama",Alexey German,Netflix
Down Terrace,"Art House & International, Comedy, Drama",Ben Wheatley,Magnolia Pictures
Down a Dark Hall,"Drama, Horror, Science Fiction & Fantasy",,Summit Entertainment
Down And Dangerous,"Drama, Mystery & Suspense",Zak Forsman,The Sabi Company
Down and Derby,"Comedy, Kids & Family",Eric Hendershot,Freestyle Releasing
Down and Out in Beverly Hills,Comedy,Paul Mazursky,Touchstone Pictures
Down by Law,"Art House & International, Comedy, Drama",Jim Jarmusch,Twentieth Century Fox Home Entertainment
Down in the Delta,Drama,Maya Angelou,Miramax
Down in the Valley,"Drama, Western, Romance",David Jacobson,ThinkFilm
Down Periscope,Comedy,David S. Ward,Twentieth Century Fox Home Entertainment
Down the Shore,"Drama, Mystery & Suspense, Romance",Harold Guskin,Anchor Bay Entertainment
Down to the Bone,Drama,Debra Granik,Laemmle/Zeller Films
Down to You,"Comedy, Romance",Kris Isacsson,Miramax
Down With Love,"Comedy, Drama, Romance",Peyton Reed,20th Century Fox
Downfall (Der Untergang),"Art House & International, Drama",Oliver Hirschbiegel,Newmarket Films
Downhill Racer,"Action & Adventure, Classics, Drama",Michael Ritchie,Paramount Pictures
Downriver,"Art House & International, Drama",Grant Scicluna,
Downsizing,"Comedy, Drama",Alexander Payne,Paramount Pictures
Downtown 81,"Art House & International, Comedy, Drama","Edo Bertoglia, Edo Bertoglio",Zeitgeist
Dr. Bronner's Magic Soapbox,"Documentary, Special Interest",Sara Lamm,Balcony Releasing
Dr. Cyclops,"Action & Adventure, Classics, Horror, Science Fiction & Fantasy",Ernest B. Schoedsack,MCA Universal Home Video
Dr. Dolittle,"Comedy, Kids & Family",Betty Thomas,20th Century Fox
Dr. Dolittle 2,"Comedy, Kids & Family",Steve Carr,20th Century Fox
Dr. Feelgood: Dealer or Healer?,Documentary,Eve Marson,Diamond Docs
Dr. Giggles,Horror,Manny Coto,MCA Universal Home Video
Dr. Goldfoot and the Bikini Machine,"Action & Adventure, Classics, Comedy, Cult Movies, Science Fiction & Fantasy",Norman Taurog,MGM Home Entertainment
"Dr. Mabuse the Gambler (Dr. Mabuse, der Spieler - Ein Bild der Zeit) (Dr. Mabuse, King of Crime)","Art House & International, Classics, Drama, Mystery & Suspense",Fritz Lang,Decla-Bioscop
Dr. No,"Action & Adventure, Classics, Mystery & Suspense",Terence Young,United Artists
Dr. Phibes Rises Again,"Action & Adventure, Art House & International, Classics, Comedy, Cult Movies, Horror, Science Fiction & Fantasy",Robert Fuest,American International Picture
Dr. Strangelove Or How I Learned to Stop Worrying and Love the Bomb,"Classics, Comedy, Science Fiction & Fantasy",Stanley Kubrick,Sony Pictures
Dr. T and the Women,"Comedy, Romance",Robert Altman,Artisan Entertainment
Dr. Who and the Daleks,"Classics, Science Fiction & Fantasy, Special Interest, Television",Gordon Flemyng,Continental
Dracula 2000,Horror,Patrick Lussier,Dimension Films
Dracula A.D. 1972,"Classics, Horror",Alan Gibson,Warner Bros. Pictures
Dracula - Dead and Loving It,Comedy,Mel Brooks,WARNER BROTHERS PICTURES
Dracula Has Risen From the Grave,"Classics, Drama, Horror, Romance",Freddie Francis,Warner Brothers/Seven Arts
Dracula II: Ascension,Horror,Patrick Lussier,Miramax
Dracula Untold,"Action & Adventure, Drama, Science Fiction & Fantasy","Gary Shore (IV), Gary Shore",Universal Pictures
Dracula's Daughter,"Classics, Drama, Horror",Lambert Hillyer,Passport
Draft Day,Drama,Ivan Reitman,Summit Entertainment
Drag Me to Hell,"Horror, Mystery & Suspense",Sam Raimi,Universal Pictures
Dragged Across Concrete,"Action & Adventure, Drama, Mystery & Suspense",S. Craig Zahler,Summit Entertainment
Dragon and the Hawk,"Action & Adventure, Mystery & Suspense",Mark Steven Grove,Inferno Film Productions
Dragon Ball Super: Broly,Animation,Tatsuya Nagamine,FUNimation Films
Dragon Ball Z: Battle Of Gods,"Action & Adventure, Animation, Science Fiction & Fantasy",Masahiro Hosoda,Screenvision
Dragon Ball Z: Resurrection 'F',"Action & Adventure, Animation, Science Fiction & Fantasy",Tadayoshi Yamamuro,FUNimation Films
Dragon Blade (Tian jiang xiong shi),"Action & Adventure, Art House & International, Drama",Daniel Lee,Lionsgate Premiere
Dragon: The Bruce Lee Story,"Action & Adventure, Drama",Rob Cohen,MCA Universal Home Video
Dragon Wars,"Action & Adventure, Drama, Science Fiction & Fantasy","Hyung-rae Shim, Hyung Rae Shim",Sony Pictures Home Entertainment
Dragonball Evolution,"Action & Adventure, Science Fiction & Fantasy",James Wong,20th Century Fox
Dragonheart,"Action & Adventure, Drama, Science Fiction & Fantasy",Rob Cohen,MCA Universal Home Video
Dragonheart - A New Beginning,"Action & Adventure, Science Fiction & Fantasy",Doug Lefler,Universal Studios
Dragonslayer,"Action & Adventure, Science Fiction & Fantasy",Matthew Robbins,Paramount Pictures
Dragonslayer,"Documentary, Musical & Performing Arts, Special Interest, Sports & Fitness",Tristan Patterson,Animals of Combat
Dreadnaught,"Action & Adventure, Art House & International, Comedy",Woo-ping Yuen,Tai Seng
Dream a Little Dream,"Comedy, Science Fiction & Fantasy",Marc Rocco,Vestron Video
Dream Big: Engineering Our World,Documentary,,
Dream for an Insomniac,"Comedy, Drama, Romance",Tiffanie DeBartolo,Sony Pictures Entertainment
Dream Home,"Art House & International, Drama, Horror",Ho-Cheung Pang,EDKO Film
Dream House,Mystery & Suspense,Jim Sheridan,Universal Pictures
Dreamcatcher,"Drama, Horror, Mystery & Suspense, Science Fiction & Fantasy",Lawrence Kasdan,Warner Bros. Pictures
Dreamer: Inspired by a True Story,"Drama, Kids & Family",John Gatins,Dreamworks
Dreamgirls,"Drama, Musical & Performing Arts",Bill Condon,Dreamworks
Dreaming of Joseph Lees,"Drama, Romance",Eric Styles,Twentieth Century Fox Home Entertainment
Dreams,"Art House & International, Drama, Science Fiction & Fantasy",Akira Kurosawa,WARNER BROTHERS PICTURES
Dreams of a Life,"Art House & International, Documentary, Drama, Special Interest",Carol Morley,Strand Releasing
Dreams Rewired,Documentary,"Manu Luksch, Martin Reinhart, Thomas Tode",Amour Fou Vienna
Dreams With Sharp Teeth,"Documentary, Special Interest",,Creative Differences
Dreamscape,"Action & Adventure, Horror, Mystery & Suspense, Science Fiction & Fantasy",Joseph Ruben,HBO Video
Dredd,"Action & Adventure, Science Fiction & Fantasy",Pete Travis,Lionsgate Films
The Dresser,"Art House & International, Drama",Peter Yates,Sony Pictures Entertainment
Drew: The Man Behind The Poster,"Documentary, Musical & Performing Arts, Special Interest",Erik Sharkey,Kino Lorber
Drift,Drama,"Morgan O'Neill, Ben Nott",Wrekin Hill
Drifter,"Horror, Mystery & Suspense",Chris von Hoffmann,Green Star Films
Drillbit Taylor,Comedy,Steven Brill,Paramount Pictures
Drinking Buddies,"Comedy, Drama",Joe Swanberg,Magnolia Pictures
Drive Angry,"Action & Adventure, Mystery & Suspense",Patrick Lussier,Summit Entertainment
Drive,"Action & Adventure, Drama, Mystery & Suspense",Nicolas Winding Refn,FilmDistrict
