,guessWord,genreHint,directorsHint,studioHint,sentenceInfo
598,Morning Glory,"Classics, Drama",Lowell Sherman,Media Home Entertainment,7_5
599,Moulin Rouge,"Classics, Drama, Musical & Performing Arts",John Huston,United Artists,6_5
600,Mr. & Mrs. Smith,"Classics, Comedy, Romance",Alfred Hitchcock,RKO Radio Pictures,3_1_4_5
601,Mrs. Soffel,"Drama, Mystery & Suspense",Gillian Armstrong,MGM Home Entertainment,4_6
602,The Mummy,"Classics, Horror, Romance",Karl W. Freund,Universal Pictures,3_5
603,The Mummy,"Art House & International, Classics, Horror",Terence Fisher,WARNER BROTHERS PICTURES,3_5
604,Murder!,"Classics, Drama, Mystery & Suspense",Alfred Hitchcock,LionsGate Entertainment,7
605,The Music Man,"Musical & Performing Arts, Romance",Morton DaCosta,Warner Bros. Pictures,3_5_3
606,Mutiny on the Bounty,"Action & Adventure, Classics, Drama",Frank Lloyd,MGM,6_2_3_6
607,Mutiny on the Bounty,"Action & Adventure, Classics, Drama","Lewis Milestone, Carol Reed",WARNER BROTHERS PICTURES,6_2_3_6
608,My Man Godfrey,"Classics, Comedy, Drama, Romance",Gregory La Cava,Universal Pictures,2_3_7
609,Mysterious Island,"Action & Adventure, Kids & Family, Science Fiction & Fantasy","Cyril Endfield, Cy Endfield",Columbia Pictures,10_6
610,Near Dark,"Horror, Mystery & Suspense, Western, Romance",Kathryn Bigelow,Lions Gate Films,4_4
611,Neighbors,Comedy,John G. Avildsen,Sony Pictures Entertainment,9
612,Next of Kin,"Action & Adventure, Drama",John Irvin,Warner Home Video,4_2_3
613,Nicholas and Alexandra,"Art House & International, Classics, Drama",Franklin J. Schaffner,Sony Pictures Home Entertainment,8_3_9
614,A Night at the Opera,"Classics, Comedy, Musical & Performing Arts, Romance",Sam Wood,MGM,1_5_2_3_5
615,Night of the Living Dead,"Classics, Cult Movies, Horror",George A. Romero,Continental Distributing Inc.,5_2_3_6_4
616,A Night to Remember,"Action & Adventure, Classics, Drama, Special Interest",Roy Ward Baker,Criterion Collection,1_5_2_8
617,Nighthawks,Action & Adventure,Bruce Malmuth,MCA Universal Home Video,10
618,No Man's Land,"Action & Adventure, Drama",Peter Werner,Orion Home Video,2_5_4
619,No Mercy,"Action & Adventure, Drama, Mystery & Suspense",Richard Pearce,Sony Pictures Home Entertainment,2_5
620,No Way Out,"Action & Adventure, Drama, Mystery & Suspense",Roger Donaldson,HBO Video,2_3_3
621,The Nutty Professor,"Classics, Comedy",Jerry Lewis,Paramount Home Video,3_5_9
622,Obsession,"Drama, Mystery & Suspense",Brian DePalma,Sony Pictures Home Entertainment,9
623,The Odd Couple,"Classics, Comedy, Drama",Gene Saks,Paramount Home Video,3_3_6
624,Odd Man Out,"Classics, Drama, Mystery & Suspense",Carol Reed,Universal Pictures,3_3_3
625,The Odessa File,"Action & Adventure, Art House & International, Classics, Drama, Mystery & Suspense",Ronald Neame,Sony Pictures Home Entertainment,3_6_4
626,The Omen,"Classics, Horror, Mystery & Suspense",Richard Donner,20th Century Fox,3_4
627,On the Beach,"Classics, Drama, Science Fiction & Fantasy",Stanley Kramer,United Artists,2_3_5
628,On the Town,"Classics, Comedy, Musical & Performing Arts","Stanley Donen, Gene Kelly",MGM,2_3_4
629,Only When I Laugh,"Comedy, Drama","Glenn Jordan, Vernon Lawrence",Sony Pictures Entertainment,4_4_1_5
630,Our Town,"Classics, Drama",Sam Wood,United Artists,3_4
631,Out of the Dark,"Comedy, Drama, Horror, Mystery & Suspense",Michael Schroeder,Sony Pictures Home Entertainment,3_2_3_4
632,The Out-of-Towners,"Classics, Comedy",Arthur Hiller,Paramount Pictures,3_14
633,The Parent Trap,"Classics, Comedy, Kids & Family, Romance",David Swift,Buena Vista Distribution Company,3_6_4
634,The Party,"Classics, Comedy",Blake Edwards,United Artists,3_5
635,Pennies From Heaven,"Drama, Musical & Performing Arts, Romance",Herbert Ross,Warner Home Video,7_4_6
636,Peter Pan,"Animation, Kids & Family, Musical & Performing Arts, Science Fiction & Fantasy","Wilfred Jackson, Clyde Geronimi, Hamilton Luske",Walt Disney,5_3
637,The Phantom of the Opera,Horror,"Dwight H. Little, Dwight Little",RCA/Columbia,3_7_2_3_5
638,Phantom Of The Opera,"Classics, Drama, Horror","Lon Chaney Jr, Rupert Julian, Edward Sedgwick",Universal Pictures,7_2_3_5
639,The Picture of Dorian Gray,"Classics, Drama, Horror, Science Fiction & Fantasy",Albert Lewin,WARNER BROTHERS PICTURES,3_7_2_6_4
640,The Pink Panther,"Comedy, Mystery & Suspense, Romance",Blake Edwards,United Artists,3_4_7
641,Piranha,"Comedy, Horror, Science Fiction & Fantasy",Joe Dante,The Weinstein Company/Dimension Films,7
642,The Pirates of Penzance,"Action & Adventure, Classics, Comedy, Musical & Performing Arts",Wilford Leach,Universal Studios,3_7_2_8
643,Pit and the Pendulum (The Pit and the Pendulum),"Cult Movies, Horror",Roger Corman,American International Pictures (AIP),3_3_3_8_4_3_3_3_9
644,Planet of the Apes,"Classics, Science Fiction & Fantasy",Franklin J. Schaffner,20th Century Fox,6_2_3_4
645,Point Blank,"Action & Adventure, Classics, Drama, Mystery & Suspense",John Boorman,MGM Home Entertainment,5_5
646,Pollyanna,"Drama, Kids & Family",David Swift,Walt Disney Productions,9
647,Poltergeist,Horror,Tobe Hooper,MGM Home Entertainment,11
648,Popeye,"Action & Adventure, Comedy, Kids & Family, Musical & Performing Arts",Robert Altman,Paramount Pictures,6
649,The Poseidon Adventure,"Action & Adventure, Drama, Mystery & Suspense","Ronald Neame, Irwin Allen",20th Century Fox,3_8_9
650,Posse,"Action & Adventure, Western",Kirk Douglas,Paramount Pictures,5
651,The Postman Always Rings Twice,"Classics, Drama, Mystery & Suspense",Tay Garnett,MGM,3_7_6_5_5
652,The Postman Always Rings Twice,"Drama, Mystery & Suspense",Bob Rafelson,Warner Home Video,3_7_6_5_5
653,Power,Drama,Sidney Lumet,Lorimar Home Video,5
654,Pride and Prejudice,"Classics, Comedy, Drama",Robert Z. Leonard,WARNER BROTHERS PICTURES,5_3_9
655,The Prince and the Pauper,"Action & Adventure, Classics, Drama",William Keighley,WARNER BROTHERS PICTURES,3_6_3_3_6
656,The Prisoner of Zenda,"Action & Adventure, Classics, Drama","John Cromwell, George Cukor, W.S. Van Dyke",United Artists,3_8_2_5
657,The Prisoner,"Art House & International, Classics, Drama",Peter Glenville,Sony Pictures Entertainment,3_8
658,The Producers,"Classics, Comedy",Mel Brooks,AVCO Embassy Pictures,3_9
659,Project X,"Action & Adventure, Comedy, Drama, Science Fiction & Fantasy",Jonathan Kaplan,Anchor Bay Entertainment,7_1
660,Prom Night,Horror,Paul Lynch,AVCO Embassy Pictures,4_5
661,Promised Land,Drama,Gus Van Sant,Focus Features,8_4
662,Prophecy,"Horror, Science Fiction & Fantasy",John Frankenheimer,Paramount Pictures,8
663,The Protector,"Action & Adventure, Drama",James Glickenhaus,Warner Bros. Pictures,3_9
664,The Prowler,Horror,Joseph Zito,Fangoria,3_7
665,The Public Enemy,"Action & Adventure, Classics, Drama, Musical & Performing Arts",William Wellman,WARNER BROTHERS PICTURES,3_6_5
666,Pulse,"Horror, Mystery & Suspense, Science Fiction & Fantasy",Paul Golding,Sony Pictures Entertainment,5
667,Quo Vadis?,"Classics, Documentary, Drama, Special Interest, Romance, Faith & Spirituality",Mervyn LeRoy,MGM Home Entertainment,3_6
668,A Raisin in the Sun,"Classics, Drama",Daniel Petrie Sr.,Sony Pictures Home Entertainment,1_6_2_3_3
669,Raw Deal,Action & Adventure,John Irvin,HBO Video,3_4
670,The Razor's Edge,"Classics, Drama, Romance",Edmund Goulding,Twentieth Century Fox,3_7_4
671,The Razor's Edge,Drama,John Byrum,Columbia Pictures,3_7_4
672,Rear Window,"Classics, Drama, Mystery & Suspense",Alfred Hitchcock,Paramount Pictures,4_6
673,Red Dawn,Action & Adventure,John Milius,MGM/UA,3_4
674,Red Heat,"Action & Adventure, Classics, Drama",Walter Hill,Live Home Video,3_4
675,The Red Shoes,"Classics, Drama, Musical & Performing Arts, Romance","Michael Powell, Emeric Pressburger",Eagle-Lion Films,3_3_5
676,Red Sonja,"Action & Adventure, Science Fiction & Fantasy",Richard Fleischer,MGM/UA,3_5
677,Monanieba (Repentance),"Art House & International, Drama",Tenghiz Abuladze,Media Home Entertainment,9_12
678,Return to Oz,"Action & Adventure, Kids & Family, Science Fiction & Fantasy",Walter Murch,Walt Disney Studios,6_2_2
679,Revenge,"Action & Adventure, Drama, Mystery & Suspense, Romance",Tony Scott,Sony Pictures Home Entertainment,7
680,Rich and Famous,"Comedy, Drama",George Cukor,MGM Home Entertainment,4_3_6
681,Risky Business,Comedy,Paul Brickman,Warner Bros.,5_8
682,Road House,"Action & Adventure, Mystery & Suspense",Rowdy Herrington,United Artists,4_5
683,Robin Hood,"Action & Adventure, Animation, Kids & Family, Musical & Performing Arts, Romance",Wolfgang Reitherman,Buena Vista Pictures,5_4
684,RoboCop,"Action & Adventure, Drama, Science Fiction & Fantasy",Paul Verhoeven,Orion Pictures Corporation,7
685,Rock 'n' Roll High School,Comedy,Allan Arkush,New World Pictures,4_3_4_4_6
686,Rocky,"Drama, Sports & Fitness",John G. Avildsen,United Artists,5
687,Romeo and Juliet,"Drama, Romance",Franco Zeffirelli,Paramount Home Video,5_3_6
688,Rudolph the Red-Nosed Reindeer,"Animation, Classics, Kids & Family, Television","Maury Laws, Larry Roemer",Artisan Entertainment,7_3_9_8
689,Runaway,"Action & Adventure, Science Fiction & Fantasy",Michael Crichton,Sony Pictures Home Entertainment,7
690,Running Scared,"Action & Adventure, Comedy",Peter Hyams,MGM Home Entertainment,7_6
691,Sabotage,"Classics, Mystery & Suspense",Alfred Hitchcock,Scott Entertainment,8
692,Sabrina,"Classics, Comedy, Drama, Romance",Billy Wilder,Paramount Home Video,7
693,Sahara,"Action & Adventure, Classics, Drama",Zoltan Korda,Sony Pictures Home Entertainment,6
694,Samson and Delilah,"Classics, Drama",Cecil B. DeMille,Paramount Home Video,6_3_7
695,Scanners,"Horror, Mystery & Suspense, Science Fiction & Fantasy",David Cronenberg,Sony Pictures Home Entertainment,8
696,Scarecrow,"Classics, Drama",Jerry Schatzberg,Warner Home Video,9
697,Scarface,"Classics, Drama",Howard Hawks,Universal Pictures,8
698,Scrooge,"Drama, Kids & Family, Musical & Performing Arts, Science Fiction & Fantasy",Ronald Neame,National General Pictures,7
699,The Sea Hawk,"Action & Adventure, Classics, Drama, Romance",Michael Curtiz,Warner Bros.,3_3_4
700,Second Sight,"Comedy, Science Fiction & Fantasy",Joel Zwick,Warner Home Video,6_5
701,Blind Terror (See No Evil),"Drama, Horror, Mystery & Suspense",Richard Fleischer,Sony Pictures Entertainment,5_6_4_2_5
702,Separate Tables,"Classics, Drama",Delbert Mann,MGM Home Entertainment,8_6
703,Shadow of a Doubt,"Classics, Drama, Mystery & Suspense",Alfred Hitchcock,Universal Pictures,6_2_1_5
704,Shaft,"Action & Adventure, Classics",Gordon Parks,MGM Home Entertainment,5
705,The Shaggy Dog,"Classics, Comedy, Kids & Family, Science Fiction & Fantasy",Charles Barton,Walt Disney Productions,3_6_3
706,Shakedown,"Action & Adventure, Drama, Mystery & Suspense",James Glickenhaus,MCA Universal Home Video,9
707,Shall We Dance,"Classics, Comedy, Drama, Musical & Performing Arts, Romance",Mark Sandrich,RKO Radio Pictures,5_2_5
708,The Shooting,"Action & Adventure, Classics, Drama, Western",Monte Hellman,VCI,3_8
709,Short Circuit,"Comedy, Kids & Family, Science Fiction & Fantasy",John Badham,Twentieth Century Fox Home Entertainment,5_7
710,A Shot in the Dark,"Classics, Comedy, Drama",Blake Edwards,MGM Home Entertainment,1_4_2_3_4
711,Show Boat,"Classics, Drama, Musical & Performing Arts",George Sidney,MGM Home Entertainment,4_4
712,"Silent Night, Deadly Night",Horror,Charles E. Sellier Jr,TriStar Pictures,6_6_6_5
713,The Silent Partner,"Comedy, Drama, Mystery & Suspense, Romance",Daryl Duke,,3_6_7
714,Silver Streak,"Action & Adventure, Comedy, Romance",Arthur Hiller,Twentieth Century Fox Home Entertainment,6_6
715,Simon,"Comedy, Science Fiction & Fantasy",Marshall Brickman,Warner Bros.,5
716,Sinbad the Sailor,"Action & Adventure, Drama, Science Fiction & Fantasy, Romance",Richard Wallace,RKO Radio Pictures,6_3_6
717,Skin Deep,Comedy,Blake Edwards,Media Home Entertainment,4_4
718,Sleeping Beauty,"Animation, Classics, Kids & Family, Science Fiction & Fantasy","Les Clark, Clyde Geronimi, Wolfgang Reitherman, Eric Larson",Buena Vista,8_6
719,Something to Sing About,"Classics, Comedy, Drama, Musical & Performing Arts",Victor Schertzinger,Screencraft Pictures,9_2_4_5
720,Sorcerer,"Action & Adventure, Mystery & Suspense",William Friedkin,Universal/Paramount Pictures,8
721,Sparkle,"Drama, Musical & Performing Arts",Sam O'Steen,Warner Home Video,7
722,Spartacus,"Action & Adventure, Classics, Drama",Stanley Kubrick,Universal Pictures,9
723,Splash,"Comedy, Science Fiction & Fantasy, Romance",Ron Howard,Touchstone Pictures,6
724,Spring Break,Comedy,"Sean S. Cunningham, Keith Hemstreet",Anchor Bay Entertainment,6_5
725,The Squeeze,"Action & Adventure, Comedy, Mystery & Suspense, Romance",Roger Young,HBO Video,3_7
726,The St. Valentine's Day Massacre,"Action & Adventure, Cult Movies, Drama, Mystery & Suspense",Roger Corman,20th Century Fox,3_3_11_3_8
727,Stagecoach,"Action & Adventure, Classics, Drama, Western",John Ford,Warner Home Video,10
728,Stage Fright,"Classics, Documentary, Drama, Mystery & Suspense",Alfred Hitchcock,IMAX,5_6
729,Stakeout,"Comedy, Mystery & Suspense",John Badham,Touchstone Pictures,8
730,A Star Is Born,"Classics, Drama","William Wellman, Jack Conway",Image Entertainment Inc.,1_4_2_4
731,A Star Is Born,"Classics, Drama, Musical & Performing Arts",George Cukor,Warner Bros. Pictures,1_4_2_4
732,A Star is Born,"Drama, Musical & Performing Arts, Romance",Frank R. Pierson,Warner Bros. Pictures,1_4_2_4
733,101 Dalmatians,"Animation, Classics, Comedy, Kids & Family, Mystery & Suspense","Clyde Geronimi, Hamilton S. Luske, Wolfgang Reitherman, Hamilton Luske",Buena Vista,3_10
734,101 Dalmatians II: Patch's London Adventure,"Animation, Kids & Family, Musical & Performing Arts","Jim Kammerud, Brian Smith",Omega Entertainment,3_10_3_7_6_9
735,The Sting,"Classics, Comedy, Drama",George Roy Hill,Universal Pictures,3_5
736,The Stranger,"Classics, Drama, Mystery & Suspense",Orson Welles,RKO Pictures,3_8
737,A Streetcar Named Desire,"Classics, Drama",Elia Kazan,Warner Bros. Pictures,1_9_5_6
738,Suddenly,"Action & Adventure, Classics, Drama, Mystery & Suspense",Lewis Allen,United Artists,8
739,Summer School,Comedy,Carl Reiner,Paramount Home Video,6_6
740,The Sundowners,"Action & Adventure, Classics, Drama",Fred Zinnemann,Warner Home Video,3_10
741,The Sunshine Boys,"Classics, Comedy, Drama",Herbert Ross,MGM Home Entertainment,3_8_4
742,Suspect,"Drama, Horror, Mystery & Suspense",Peter Yates,Sony Pictures Home Entertainment,7
743,Suspicion,"Classics, Drama, Mystery & Suspense",Alfred Hitchcock,WARNER BROTHERS PICTURES,9
744,Svengali,"Classics, Drama, Horror, Mystery & Suspense",Archie Mayo,Warner Bros.,8
745,Sweet Bird of Youth,"Classics, Drama",Richard Brooks,MGM Home Entertainment,5_4_2_5
746,Swing Time,"Classics, Musical & Performing Arts, Romance",George Stevens,RKO Radio Pictures Inc.,5_4
747,Swiss Family Robinson,"Action & Adventure, Kids & Family",Ken Annakin,Buena Vista Pictures,5_6_8
748,A Tale of Two Cities,"Classics, Drama, Romance",Jack Conway,Warner Home Video,1_4_2_3_6
749,The Taming of the Shrew,"Classics, Comedy, Drama, Romance","Franco Zeffirelli, Artie Mandelberg",Sony Pictures Home Entertainment,3_6_2_3_5
750,Target,"Action & Adventure, Drama, Mystery & Suspense",Arthur Penn,Warner Bros.,6
751,"Tarzan, the Ape Man",Action & Adventure,John Derek,United Artists,7_3_3_3
752,Tempest,"Comedy, Documentary, Drama, Special Interest",Paul Mazursky,Columbia Pictures,7
753,The Ten Commandments,"Classics, Drama, Faith & Spirituality",Cecil B. DeMille,Paramount Pictures,3_3_12
754,The Ten Commandments,"Classics, Drama, Faith & Spirituality",Cecil B. DeMille,Paramount Pictures,3_3_12
755,Tales of Terror,"Classics, Comedy, Cult Movies, Horror, Mystery & Suspense",Roger Corman,American International Picture,5_2_6
756,That Championship Season,Drama,Jason Miller,Golan-Globus Productions,4_12_6
757,Them!,"Classics, Horror, Science Fiction & Fantasy",Gordon Douglas,Warner Home Video,5
758,Shivers (They Came from Within) (The Parasite Murders),"Horror, Science Fiction & Fantasy",David Cronenberg,,7_5_4_4_7_4_8_8
759,They Drive by Night,"Classics, Drama",Raoul Walsh,Warner Bros. Pictures,4_5_2_5
760,Thief,"Action & Adventure, Drama, Mystery & Suspense",Michael Mann,MGM Home Entertainment,5
761,The Thing from Another World,"Classics, Horror, Science Fiction & Fantasy",Christian Nyby,Warner Home Video,3_5_4_7_5
762,The Thing,"Horror, Science Fiction & Fantasy",John Carpenter,Universal Pictures,3_5
763,Thirst,"Drama, Horror, Mystery & Suspense, Science Fiction & Fantasy",Rod Hardy,Media Home Entertainment,6
764,This Gun for Hire,"Classics, Drama, Mystery & Suspense",Frank Tuttle,Paramount Pictures,4_3_3_4
765,Three Amigos!,"Comedy, Western",John Landis,HBO Video,5_7
766,The Three Musketeers,"Action & Adventure, Classics, Comedy, Drama, Romance",George Sidney,WARNER BROTHERS PICTURES,3_5_10
767,The Three Musketeers,"Action & Adventure, Comedy",Richard Lester,Live Home Video,3_5_10
768,The Time Machine,"Action & Adventure, Classics, Science Fiction & Fantasy",George Pal,MGM Home Entertainment,3_4_7
769,Tommy,"Drama, Musical & Performing Arts",Ken Russell,Sony Pictures,5
770,The Toolbox Murders,"Drama, Horror",Dennis Donnelly,Scary Movies LLC,3_7_7
771,Top Secret!,Comedy,"David Zucker, Jim Abrahams, Jerry Zucker, Jody J. Abrahams",Paramount Home Video,3_7
772,I corpi presentano tracce di violenza carnale (Torso) (Bodies Bear Traces of Carnal Violence),"Art House & International, Horror, Mystery & Suspense",Sergio Martino,Anchor Bay Entertainment,1_5_10_6_2_8_7_7_7_4_6_2_6_9
773,Touch of Evil,"Classics, Drama, Mystery & Suspense",Orson Welles,October Films,5_2_4
774,Tough Guys,Comedy,Jeff Kanew,Touchstone Pictures,5_4
775,Treasure Island,"Action & Adventure, Classics",Victor Fleming,Warner Home Video,8_6
776,Treasure Island,"Action & Adventure, Classics, Kids & Family",Byron Haskin,Walt Disney Productions,8_6
777,Le Proc�s (The Trial),"Art House & International, Classics, Drama, Mystery & Suspense, Science Fiction & Fantasy",Orson Welles,Gibraltar Films,2_6_4_6
778,The Trip,"Action & Adventure, Classics, Drama, Science Fiction & Fantasy",Roger Corman,American International Pictures,3_4
779,Twelve O'Clock High,"Action & Adventure, Classics, Drama",Henry King,Twentieth Century Fox Home Entertainment,6_7_4
780,Uncommon Valor,"Action & Adventure, Drama",Ted Kotcheff,Paramount Home Video,8_5
781,The Undefeated,"Classics, Western",Andrew V. McLaglen,Twentieth Century Fox Home Entertainment,3_10
782,Unfaithfully Yours,"Classics, Comedy, Musical & Performing Arts, Romance",Preston Sturges,Fox,12_5
783,Venom,"Cult Movies, Horror, Mystery & Suspense",Piers Haggard,Blue Underground,5
784,Vice Versa,"Comedy, Kids & Family, Science Fiction & Fantasy",Brian Gilbert,Sony Pictures Home Entertainment,4_5
785,Victory,"Action & Adventure, Drama",John Huston,Paramount Pictures,7
786,Village of the Damned,"Horror, Mystery & Suspense, Science Fiction & Fantasy",Wolf Rilla,Warner Home Video,7_2_3_6
787,The Warriors,"Action & Adventure, Cult Movies, Drama",Walter Hill,Paramount Pictures,3_8
788,We're No Angels,"Comedy, Romance",Neil Jordan,Paramount Home Video,5_2_6
789,Weird Science,"Comedy, Science Fiction & Fantasy",John Hughes,Universal Pictures,5_7
790,When a Stranger Calls,"Horror, Mystery & Suspense",Fred Walton,Sony Pictures Home Entertainment,4_1_8_5
791,Where the Boys Are,"Classics, Comedy, Drama, Romance","Henry Levin, George Wells",WARNER BROTHERS PICTURES,5_3_4_3
792,White Christmas,"Classics, Kids & Family, Musical & Performing Arts, Special Interest",Michael Curtiz,Paramount Pictures,5_9
793,Winchester '73,"Classics, Western",Anthony Mann,Universal Pictures,10_3
794,Witness,"Drama, Mystery & Suspense, Romance",Peter Weir,Paramount Pictures,7
795,A Woman's Face,"Classics, Drama, Mystery & Suspense",George Cukor,MGM Home Entertainment,1_7_4
796,The Women,"Classics, Comedy, Drama",George Cukor,MGM,3_5
797,The Wrong Man,"Classics, Drama",Alfred Hitchcock,Warner Bros. Pictures,3_5_3
798,Wuthering Heights,"Classics, Drama, Romance",William Wyler,United Artists,9_7
799,Year of the Dragon,"Action & Adventure, Drama",Michael Cimino,MGM Home Entertainment,4_2_3_6
800,The Yearling,"Classics, Kids & Family",Clarence Brown,MGM Home Entertainment,3_8
801,"Yours, Mine and Ours","Classics, Comedy, Kids & Family",Melville Shavelson,MGM Home Entertainment,6_4_3_4
802,Blue Steel,"Action & Adventure, Drama, Mystery & Suspense",Kathryn Bigelow,MGM Home Entertainment,4_5
803,Where the Heart Is,"Comedy, Drama",John Boorman,Touchstone Pictures,5_3_5_2
804,The Guardian,"Horror, Mystery & Suspense",William Friedkin,Universal,3_8
805,Mystery Train,"Art House & International, Comedy, Drama",Jim Jarmusch,Orion Home Video,7_5
806,Revolution,"Action & Adventure, Drama",Hugh Hudson,Warner Home Video,10
807,Henry V,"Action & Adventure, Drama, Romance",Kenneth Branagh,MGM Home Entertainment,5_1
808,Kiss of Death,"Classics, Drama, Mystery & Suspense",Henry Hathaway,20th Century Fox,4_2_5
809,Alice in Wonderland,"Animation, Classics, Comedy, Kids & Family, Science Fiction & Fantasy","Clyde Geronimi, Wilfred Jackson, Hamilton Luske",Film Chest,5_2_10
810,My Blue Heaven,Comedy,Herbert Ross,Warner Bros. Pictures,2_4_6
811,State Fair,"Classics, Musical & Performing Arts",Walter Lang,20th Century Fox,5_4
812,Dick Tracy,"Action & Adventure, Comedy, Drama",Warren Beatty,Buena Vista Pictures,4_5
813,Bombshell (Blonde Bombshell),"Classics, Comedy, Drama, Romance",Victor Fleming,MGM,9_7_10
814,Navy Seals,"Action & Adventure, Mystery & Suspense",Lewis Teague,Orion Home Video,4_5
815,"Goodbye, Mr. Chips","Drama, Musical & Performing Arts, Romance",Herbert Ross,MGM,8_3_5
816,102 Dalmatians,"Comedy, Kids & Family",Kevin Lima,Buena Vista Pictures,3_10
817,The Champ,"Classics, Drama, Kids & Family",King Vidor,MGM,3_5
818,Narrow Margin,"Action & Adventure, Mystery & Suspense",Peter Hyams,Live Home Video,6_6
819,Red Dust,"Drama, Romance",Victor Fleming,MGM,3_4
820,Desperate Hours,"Drama, Mystery & Suspense",Michael Cimino,Metro Goldwyn Mayer,9_5
821,Ghost,"Comedy, Drama, Mystery & Suspense, Science Fiction & Fantasy, Romance",Jerry Zucker,Paramount Pictures,5
822,Memphis Belle,"Action & Adventure, Drama",Michael Caton-Jones,MVD Music Video,7_5
823,Faust,"Art House & International, Horror, Science Fiction & Fantasy",F.W. Murnau,MGM,5
824,Gun Crazy (Deadly Is the Female),"Action & Adventure, Classics, Drama",Joseph H. Lewis,United Artists,3_5_7_2_3_7
825,The Jungle Book,"Action & Adventure, Animation, Kids & Family, Musical & Performing Arts, Romance",Wolfgang Reitherman,Buena Vista Pictures,3_6_4
826,The Long Goodbye,"Classics, Drama, Mystery & Suspense",Robert Altman,United Artists,3_4_7
827,Houdini,"Classics, Drama",George Marshall,Paramount Home Video,7
828,Avalon,Drama,Barry Levinson,Sony Pictures Home Entertainment,6
829,The Rookie,"Action & Adventure, Comedy, Drama, Mystery & Suspense",Clint Eastwood,Warner Home Video,3_6
830,The Long Walk Home,Drama,Richard Pearce,Miramax,3_4_4_4
831,Anastasia,"Classics, Drama",Anatole Litvak,20th Century Fox,9
832,Jane Eyre,"Classics, Drama, Romance",Robert Stevenson,RKO Pictures,4_4
833,The Pit and the Pendulum,Horror,Stuart Gordon,MGM,3_3_3_3_8
834,GoodFellas,Drama,Martin Scorsese,Warner Bros.,10
835,After Hours,"Comedy, Mystery & Suspense",Martin Scorsese,Warner Bros. Pictures,5_5
836,White Fang,"Action & Adventure, Drama, Kids & Family",Randal Kleiser,Buena Vista Pictures,5_4
837,Boy Meets Girl (1984),"Art House & International, Drama, Romance",Leos Carax,Franco London Films,3_5_4_6
838,Mata Hari,"Action & Adventure, Classics, Drama, Mystery & Suspense, Romance",George Fitzmaurice,MGM Home Entertainment,4_4
839,Alice,"Comedy, Drama, Romance",Woody Allen,"MGM Pictures, Inc.",5
840,Hidden Agenda,"Drama, Mystery & Suspense",Ken Loach,HBO Video,6_6
841,The Connection,"Classics, Drama",Shirley Clarke,Films Around the World,3_10
842,The Entertainer,"Art House & International, Classics, Drama, Musical & Performing Arts",Tony Richardson,Continental,3_11
843,"Sorry, Wrong Number","Classics, Drama, Horror, Mystery & Suspense",Anatole Litvak,Paramount Pictures,6_5_6
844,Awakenings,Drama,Penny Marshall,Columbia Pictures,10
845,Diabolique (Les Diaboliques),Mystery & Suspense,Henri-Georges Clouzot,Kino Lorber Inc.,10_4_12
846,True Colors,Drama,Herbert Ross,Paramount Home Video,4_6
847,Switch,"Comedy, Science Fiction & Fantasy",Blake Edwards,HBO Video,6
848,The Field,"Art House & International, Drama",Jim Sheridan,Live Home Video,3_5
849,Oscar,"Comedy, Drama, Mystery & Suspense",John Landis,Touchstone Pictures,5
850,Night Nurse,Drama,"William Wellman, Igor Auzins",Warner Bros. Pictures,5_5
851,Fury,"Classics, Drama, Mystery & Suspense",Fritz Lang,WARNER BROTHERS PICTURES,4
852,Possessed,"Classics, Drama, Mystery & Suspense","Clarence Brown, Curtis Bernhardt",Warner Bros. Pictures,9
853,Born to Kill,"Classics, Drama",Robert Wise,WARNER BROTHERS PICTURES,4_2_4
854,Toy Soldiers,"Action & Adventure, Drama, Mystery & Suspense","Daniel Petrie Sr., Daniel Petry, Daniel Petrie Jr.",Sony Pictures Home Entertainment,3_8
855,Come and See (Idi i smotri),"Art House & International, Drama",Elem Klimov,Kino International,4_3_3_4_1_7
856,The Miracle,Drama,Neil Jordan,Live Home Video,3_7
857,Hot Shots!,Comedy,Jim Abrahams,Twentieth Century Fox Home Entertainment,3_6
858,Dogfight,"Drama, Romance",Nancy Savoca,Warner Home Video,8
859,The Hitman,Action & Adventure,Aaron Norris,Cannon Home Video,3_6
860,Teacher's Pet,"Classics, Comedy, Drama, Romance",George Seaton,Paramount Home Video,9_3
861,Shattered,"Art House & International, Drama, Mystery & Suspense",Wolfgang Petersen,MGM Home Entertainment,9
862,Romeo and Juliet,"Classics, Drama, Romance",George Cukor,MGM,5_3_6
863,The Doctor,Drama,Randa Haines,Touchstone Pictures,3_6
864,Paradise,Drama,Mary Agnes Donoghue,Touchstone Pictures,8
865,The Commitments,"Comedy, Drama, Musical & Performing Arts",Alan Parker,20th Century Fox Film Corporation,3_11
866,Frankie & Johnny,"Comedy, Drama, Romance",Garry Marshall,Paramount Home Video,7_1_6
867,Deceived,"Drama, Mystery & Suspense","Damian Harris, Damien Harris",Buena Vista Pictures,8
868,The Star,"Classics, Drama",Stuart Heisler,20th Century Fox Film Corporation,3_4
869,Poison,"Art House & International, Drama, Horror",Todd Haynes,Zeitgeist Films,6
870,Cape Fear,"Drama, Mystery & Suspense",Martin Scorsese,MCA/Universal Pictures,4_4
